City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Nishihara,JP,71.6,few clouds,26.1842,127.7558,Minshuku Agaihama
522,Wajid,SO,69.28,clear sky,3.8093,43.2471,xamdihotelresturant114
523,Mmabatho,ZA,64.4,scattered clouds,-25.85,25.6333,Mahikeng Guest Apartments
526,La Plata,AR,72.0,clear sky,-34.9215,-57.9545,Hotel Corregidor
527,Jizan,SA,71.6,few clouds,17.3333,42.6667,شهدان. ابوالحجر
528,Harare,ZW,63.0,overcast clouds,-17.8294,31.0539,Fife Avenue Hotel
529,Cap Malheureux,MU,75.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
530,Laguna,US,62.6,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
531,Metro,ID,79.97,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
534,Huarmey,PE,71.1,overcast clouds,-10.0681,-78.1522,Hotel Miramar
536,Rondonopolis,BR,74.57,overcast clouds,-16.4708,-54.6356,Serras Hotel
537,Allapalli,IN,60.31,broken clouds,19.4167,80.0667,Hotel IK Residency
539,Las Vegas,US,66.2,clear sky,36.175,-115.1372,Plaza Hotel & Casino
545,General Roca,AR,78.8,clear sky,-39.0333,-67.5833,Hotel El Recreo
546,Sao Gabriel Da Cachoeira,BR,74.89,clear sky,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
548,Nimaparha,IN,64.4,mist,20.0667,86.0167,Maa Karanjai Sweet And Hotel 🏨
557,Maldonado,UY,66.99,few clouds,-34.6667,-54.9167,La Cimarrona
562,Marsala,IT,66.0,clear sky,37.7966,12.4352,Villa Favorita Hotel e Resort
566,Rio De Janeiro,BR,78.01,broken clouds,-22.9028,-43.2075,Windsor Guanabara Hotel
567,Saldanha,ZA,64.4,clear sky,-33.0117,17.9442,Blue Bay Lodge
570,San Lawrenz,MT,63.0,clear sky,36.0553,14.204,San Andrea Hotel
573,Paita,PE,74.79,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
575,Mana,GF,77.16,moderate rain,5.6592,-53.7767,LE SAMANA
576,Galveston,US,60.01,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
579,Odweyne,SO,62.91,clear sky,9.4092,45.06399999999999,Eng Hiirey House
580,Salta,AR,71.6,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
582,Alta Floresta,BR,70.74,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
585,Am Timan,TD,62.74,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
592,Praya,CV,68.0,broken clouds,14.9215,-23.5087,LT Aparthotel
593,Los Chiles,CR,76.35,scattered clouds,11.0333,-84.7167,Cabinas y Apartamentos Felicia
596,San Patricio,US,64.4,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
597,Muisne,EC,78.33,overcast clouds,0.6,-80.0333,Quinta Samay
598,Wanning,CN,72.27,few clouds,18.8003,110.3967,Paradise Hotel
600,Kinablangan,PH,78.93,overcast clouds,7.6947,126.5503,Danny Moreno Property
