City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
81,Poronaysk,RU,2021-02-02 23:51:09,49.2167,143.1167,-18.78,82,43,4.0
82,Termoli,IT,2021-02-02 23:51:09,41.9888,14.9895,44.01,98,0,9.01
83,Esperance,AU,2021-02-02 23:51:09,-33.8667,121.9,66.2,72,60,16.11
84,Soure,BR,2021-02-02 23:51:10,-0.7167,-48.5233,80.17,83,86,12.77
85,Ushuaia,AR,2021-02-02 23:47:56,-54.8,-68.3,55.4,71,75,26.46
86,Leningradskiy,RU,2021-02-02 23:51:10,69.3833,178.4167,-4.72,87,100,16.93
87,Dukat,RU,2021-02-02 23:51:10,62.55,155.55,-28.91,83,100,4.9
88,Hambantota,LK,2021-02-02 23:51:10,6.1241,81.1185,76.28,81,25,14.65
89,Chingola,ZM,2021-02-02 23:51:10,-12.529,27.8838,62.8,98,100,2.59
90,Kruisfontein,ZA,2021-02-02 23:51:10,-34.0033,24.7314,69.4,62,0,6.49
91,Mar Del Plata,AR,2021-02-02 23:47:15,-38.0023,-57.5575,66.99,82,0,9.22
92,Upernavik,GL,2021-02-02 23:51:10,72.7868,-56.1549,-6.74,87,100,4.12
93,Havre-Saint-Pierre,CA,2021-02-02 23:49:11,50.2334,-63.5986,24.8,50,90,10.36
94,Beja,TN,2021-02-02 23:51:11,36.7256,9.1817,57.2,77,40,6.91
95,Bubaque,GW,2021-02-02 23:51:11,11.2833,-15.8333,78.33,74,5,12.41
96,Komsomolskiy,UZ,2021-02-02 23:49:39,40.4272,71.7189,35.6,60,13,4.61
97,Mahebourg,MU,2021-02-02 23:51:11,-20.4081,57.7,78.8,78,40,6.91
98,Juneau,US,2021-02-02 23:50:02,58.3019,-134.4197,19.4,86,1,3.44
99,Seoul,KR,2021-02-02 23:50:59,37.5683,126.9778,15.8,67,0,6.91
100,San Quintin,MX,2021-02-02 23:51:11,30.4833,-115.95,64.15,66,89,14.83
101,Semey,KZ,2021-02-02 23:51:12,50.4111,80.2275,6.8,85,0,2.24
102,Ahipara,NZ,2021-02-02 23:50:32,-35.1667,173.1667,71.62,57,0,5.66
103,Salalah,OM,2021-02-02 23:51:12,17.0151,54.0924,71.6,17,0,2.3
104,Turayf,SA,2021-02-02 23:51:12,31.6725,38.6637,53.6,58,47,27.63
105,Bairiki,KI,2021-02-02 23:51:12,1.3292,172.9752,86.0,70,40,11.5
106,Bredasdorp,ZA,2021-02-02 23:51:12,-34.5322,20.0403,59.0,88,0,4.61
107,Victoria,HK,2021-02-02 23:47:17,22.2855,114.1577,63.0,73,77,5.01
108,Khani,GE,2021-02-02 23:51:13,41.9563,42.9566,39.2,70,0,5.75
109,Norman Wells,CA,2021-02-02 23:51:13,65.282,-126.8329,-18.4,69,75,8.05
110,Carnarvon,AU,2021-02-02 23:49:06,-24.8667,113.6333,73.4,100,90,18.41
111,Illapel,CL,2021-02-02 23:51:13,-31.6308,-71.1653,63.0,60,0,4.03
112,Tuktoyaktuk,CA,2021-02-02 23:51:13,69.4541,-133.0374,-34.6,74,1,3.44
113,Meulaboh,ID,2021-02-02 23:51:13,4.1363,96.1285,75.76,88,98,4.7
114,Bandarbeyla,SO,2021-02-02 23:51:13,9.4942,50.8122,71.6,72,27,13.35
115,Camocim,BR,2021-02-02 23:51:13,-2.9022,-40.8411,79.11,75,20,16.06
116,Luderitz,NA,2021-02-02 23:49:05,-26.6481,15.1594,64.71,85,1,8.55
117,Beira,MZ,2021-02-02 23:51:14,-19.8436,34.8389,77.4,91,100,5.97
118,Alofi,NU,2021-02-02 23:51:14,-19.0595,-169.9187,84.2,84,100,12.66
119,Ararat,AM,2021-02-02 23:51:14,39.8317,44.7049,28.4,80,24,1.14
120,Atuona,PF,2021-02-02 23:49:06,-9.8,-139.0333,78.42,74,2,13.24
121,Half Moon Bay,US,2021-02-02 23:51:14,37.4636,-122.4286,60.01,82,40,5.75
122,Dargaville,NZ,2021-02-02 23:51:14,-35.9333,173.8833,73.22,48,0,7.23
123,Butaritari,KI,2021-02-02 23:51:14,3.0707,172.7902,82.0,84,85,17.94
124,Nikolskoye,RU,2021-02-02 23:51:14,59.7035,30.7861,23.0,86,90,8.95
125,Oranjemund,NA,2021-02-02 23:51:14,-28.55,16.4333,64.15,87,0,1.3
126,Narsaq,GL,2021-02-02 23:51:15,60.9167,-46.05,23.0,54,40,3.44
127,East London,ZA,2021-02-02 23:51:15,-33.0153,27.9116,70.16,79,92,11.16
128,Gorontalo,ID,2021-02-02 23:48:52,0.5412,123.0595,78.57,84,100,1.41
129,Las Choapas,MX,2021-02-02 23:51:15,17.9333,-94.0833,75.2,53,40,11.5
