City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
390,Poum,NC,-20.2333,164.0167,80.24,68,0,5.64,clear sky
391,Bambous Virieux,MU,-20.3428,57.7575,75.0,86,3,1.99,light rain
392,Khakhea,BW,-24.6895,23.494,66.69,89,75,12.15,broken clouds
393,Hobyo,SO,5.3505,48.5268,76.66,79,59,15.84,broken clouds
394,Pokrovsk,UA,48.282,37.1758,19.6,88,100,11.21,overcast clouds
395,Boone,US,39.0334,-92.3335,14.0,75,98,5.01,overcast clouds
396,Hailar,CN,49.2,119.7,-9.56,86,0,4.94,clear sky
397,Tura,IN,25.5198,90.2201,61.7,57,100,0.11,overcast clouds
398,May Pen,JM,17.9645,-77.2451,80.6,74,20,23.02,few clouds
399,Vicuna,CL,-30.0319,-70.7081,60.8,82,0,6.91,clear sky
400,Eureka,US,40.8021,-124.1637,51.01,83,1,7.0,clear sky
401,Fos-Sur-Mer,FR,43.4377,4.9446,55.4,93,75,8.05,mist
402,Monchegorsk,RU,67.9397,32.8739,19.99,92,100,9.75,light snow
403,Spearfish,US,44.4908,-103.8594,5.0,78,90,8.3,overcast clouds
404,Salalah,OM,17.0151,54.0924,73.4,68,75,2.3,broken clouds
405,San Carlos De Bariloche,AR,-41.1456,-71.3082,75.2,29,0,11.5,clear sky
406,Cananea,MX,30.95,-110.3,50.0,31,0,3.0,clear sky
407,Coihaique,CL,-45.5752,-72.0662,68.0,40,0,19.57,clear sky
408,Udpura,IN,24.7167,75.9667,51.91,46,0,2.1,clear sky
409,Ponta Delgada,PT,37.7333,-25.6667,59.0,88,75,23.02,broken clouds
410,Ostrovnoy,RU,68.0531,39.5131,8.29,92,100,10.18,overcast clouds
411,Tingi,TZ,-11.3,35.0333,65.64,94,100,2.33,light rain
412,Oranjestad,AW,12.524,-70.027,78.66,78,100,27.11,overcast clouds
413,Karratha,AU,-20.7377,116.8463,83.03,48,0,9.19,clear sky
414,Ekibastuz,KZ,51.6667,75.3667,31.33,93,66,28.23,broken clouds
415,Sambava,MG,-14.2667,50.1667,74.66,89,93,4.56,overcast clouds
416,Ondjiva,AO,-17.0667,15.7333,76.15,47,96,7.74,overcast clouds
417,Naga,PH,13.6192,123.1814,83.66,69,25,10.27,scattered clouds
418,Noumea,NC,-22.2763,166.4572,87.8,62,40,10.36,scattered clouds
419,Raudeberg,NO,61.9875,5.1352,24.01,68,0,8.05,clear sky
